Id,label
60001,6
60002,4
60003,4
60004,3
60005,7
60006,4
60007,3
60008,4
60009,6
60010,4
60011,3
60012,7
60013,3
60014,4
60015,7
60016,3
60017,4
60018,7
60019,4
60020,5
60021,4
60022,7
60023,3
60024,7
60025,5
60026,8
60027,3
60028,4
60029,3
60030,4
60031,4
60032,4
60033,5
60034,5
60035,6
60036,7
60037,7
60038,7
60039,4
60040,4
60041,4
60042,3
60043,4
60044,7
60045,5
60046,5
60047,6
60048,4
60049,9
60050,7
60051,7
60052,7
60053,3
60054,4
60055,4
60056,7
60057,5
60058,3
60059,5
60060,7
60061,7
60062,3
60063,7
60064,4
60065,3
60066,5
60067,7
60068,4
60069,4
60070,5
60071,4
60072,9
60073,5
60074,4
60075,9
60076,4
60077,7
60078,4
60079,4
60080,7
60081,4
60082,8
60083,4
60084,5
60085,3
60086,4
60087,4
60088,4
60089,7
60090,7
60091,4
60092,7
60093,7
60094,4
60095,7
60096,3
60097,4
60098,7
60099,4
60100,4
60101,4
60102,7
60103,3
60104,3
60105,7
60106,5
60107,3
60108,4
60109,7
60110,7
60111,6
60112,4
60113,4
60114,7
60115,4
60116,7
60117,3
60118,7
60119,3
60120,4
60121,4
60122,7
60123,4
60124,4
60125,4
60126,4
60127,3
60128,6
60129,4
60130,5
60131,6
60132,8
60133,4
60134,6
60135,4
60136,5
60137,5
60138,7
60139,4
60140,4
60141,7
60142,8
60143,4
60144,4
60145,7
60146,6
60147,7
60148,3
60149,4
60150,7
60151,7
60152,4
60153,4
60154,3
60155,7
60156,7
60157,7
60158,5
60159,4
60160,4
60161,4
60162,4
60163,5
60164,6
60165,7
60166,7
60167,7
60168,7
60169,7
60170,4
60171,6
60172,7
60173,4
60174,3
60175,7
60176,3
60177,7
60178,5
60179,7
60180,4
60181,4
60182,6
60183,7
60184,3
60185,3
60186,3
60187,8
60188,6
60189,4
60190,4
60191,7
60192,4
60193,3
60194,4
60195,7
60196,4
60197,7
60198,4
60199,3
60200,7
60201,4
60202,4
60203,4
60204,4
60205,4
60206,7
60207,3
60208,4
60209,3
60210,3
60211,5
60212,3
60213,3
60214,4
60215,4
60216,4
60217,4
60218,4
60219,8
60220,3
60221,4
60222,4
60223,7
60224,5
60225,5
60226,4
60227,4
60228,7
60229,4
60230,4
60231,3
60232,4
60233,7
60234,4
60235,7
60236,7
60237,4
60238,3
60239,7
60240,4
60241,4
60242,4
60243,4
60244,7
60245,3
60246,4
60247,7
60248,6
60249,7
60250,4
60251,5
60252,7
60253,7
60254,4
60255,4
60256,3
60257,6
60258,6
60259,7
60260,4
60261,7
60262,6
60263,3
60264,7
60265,4
60266,3
60267,5
60268,3
60269,7
60270,6
60271,4
60272,5
60273,4
60274,5
60275,7
60276,4
60277,3
60278,7
60279,7
60280,6
60281,8
60282,3
60283,7
60284,5
60285,4
60286,3
60287,4
60288,4
60289,3
60290,6
60291,4
60292,5
60293,7
60294,7
60295,7
60296,7
60297,4
60298,4
60299,7
60300,5
60301,7
60302,3
60303,4
60304,7
60305,7
60306,8
60307,3
60308,7
60309,4
60310,4
60311,3
60312,4
60313,3
60314,4
60315,3
60316,4
60317,7
60318,4
60319,4
60320,7
60321,4
60322,6
60323,4
60324,4
60325,7
60326,4
60327,7
60328,7
60329,4
60330,3
60331,3
60332,3
60333,9
60334,4
60335,4
60336,4
60337,7
60338,7
60339,4
60340,4
60341,5
60342,7
60343,5
60344,5
60345,7
60346,4
60347,8
60348,3
60349,3
60350,6
60351,4
60352,4
60353,0
60354,4
60355,7
60356,4
60357,4
60358,4
60359,7
60360,5
60361,4
60362,4
60363,6
60364,4
60365,3
60366,7
60367,4
60368,4
60369,5
60370,3
60371,4
60372,4
60373,7
60374,3
60375,3
60376,4
60377,6
60378,4
60379,4
60380,7
60381,4
60382,4
60383,4
60384,3
60385,3
60386,9
60387,3
60388,6
60389,7
60390,4
60391,4
60392,7
60393,3
60394,4
60395,4
60396,7
60397,5
60398,4
60399,7
60400,4
60401,3
60402,4
60403,7
60404,6
60405,3
60406,3
60407,4
60408,5
60409,7
60410,4
60411,7
60412,5
60413,4
60414,7
60415,4
60416,7
60417,5
60418,4
60419,4
60420,4
60421,7
60422,4
60423,4
60424,6
60425,4
60426,7
60427,4
60428,5
60429,3
60430,9
60431,7
60432,4
60433,4
60434,3
60435,4
60436,7
60437,5
60438,7
60439,4
60440,4
60441,4
60442,7
60443,3
60444,3
60445,4
60446,3
60447,4
60448,4
60449,5
60450,4
60451,3
60452,4
60453,4
60454,4
60455,4
60456,4
60457,4
60458,3
60459,7
60460,4
