Id,label
60001,5
60002,6
60003,4
60004,3
60005,7
60006,4
60007,1
60008,1
60009,2
60010,3
60011,0
60012,7
60013,3
60014,3
60015,9
60016,3
60017,1
60018,4
60019,1
60020,9
60021,3
60022,5
60023,3
60024,8
60025,5
60026,1
60027,5
60028,4
60029,3
60030,1
60031,8
60032,4
60033,5
60034,8
60035,9
60036,9
60037,4
60038,8
60039,2
60040,4
60041,4
60042,8
60043,4
60044,9
60045,9
60046,8
60047,4
60048,2
60049,7
60050,0
60051,9
60052,7
60053,8
60054,1
60055,1
60056,3
60057,7
60058,3
60059,9
60060,7
60061,5
60062,5
60063,7
60064,0
60065,1
60066,8
60067,5
60068,2
60069,0
60070,8
60071,1
60072,6
60073,9
60074,2
60075,9
60076,4
60077,8
60078,8
60079,6
60080,9
60081,2
60082,6
60083,4
60084,9
60085,3
60086,6
60087,1
60088,8
60089,6
60090,5
60091,6
60092,2
60093,3
60094,1
60095,2
60096,3
60097,6
60098,7
60099,4
60100,8
60101,0
60102,7
60103,3
60104,8
60105,8
60106,9
60107,8
60108,6
60109,4
60110,3
60111,9
60112,8
60113,1
60114,9
60115,0
60116,7
60117,0
60118,9
60119,1
60120,1
60121,0
60122,9
60123,2
60124,4
60125,9
60126,4
60127,5
60128,0
60129,6
60130,5
60131,5
60132,0
60133,2
60134,0
60135,4
60136,5
60137,5
60138,5
60139,2
60140,2
60141,7
60142,4
60143,4
60144,1
60145,8
60146,6
60147,7
60148,3
60149,6
60150,8
60151,5
60152,4
60153,4
60154,2
60155,8
60156,3
60157,5
60158,9
60159,1
60160,6
60161,4
60162,0
60163,7
60164,0
60165,5
60166,5
60167,9
60168,7
60169,5
60170,2
60171,0
60172,5
60173,3
60174,8
60175,7
60176,3
60177,1
60178,4
60179,7
60180,0
60181,1
60182,1
60183,4
60184,3
60185,0
60186,1
60187,0
60188,0
60189,4
60190,2
60191,9
60192,2
60193,2
60194,2
60195,1
60196,1
60197,7
60198,4
60199,8
60200,9
60201,4
60202,4
60203,1
60204,0
60205,3
60206,9
60207,0
60208,2
60209,3
60210,3
60211,9
60212,3
60213,4
60214,6
60215,8
60216,0
60217,0
60218,4
60219,5
60220,8
60221,4
60222,0
60223,9
60224,9
60225,7
60226,0
60227,1
60228,5
60229,4
60230,2
60231,2
60232,1
60233,7
60234,4
60235,7
60236,7
60237,4
60238,4
60239,7
60240,8
60241,2
60242,2
60243,8
60244,5
60245,0
60246,1
60247,5
60248,0
60249,7
60250,3
60251,5
60252,6
60253,7
60254,4
60255,8
60256,9
60257,9
60258,4
60259,7
60260,2
60261,9
60262,5
60263,3
60264,7
60265,0
60266,8
60267,5
60268,3
60269,7
60270,0
60271,4
60272,8
60273,4
60274,9
60275,3
60276,2
60277,4
60278,4
60279,7
60280,5
60281,6
60282,3
60283,7
60284,5
60285,2
60286,3
60287,4
60288,0
60289,3
60290,0
60291,2
60292,5
60293,8
60294,7
60295,5
60296,8
60297,1
60298,2
60299,4
60300,9
60301,7
60302,8
60303,4
60304,3
60305,5
60306,4
60307,0
60308,7
60309,1
60310,4
60311,1
60312,1
60313,4
60314,2
60315,3
60316,2
60317,5
60318,8
60319,4
60320,7
60321,3
60322,5
60323,0
60324,1
60325,7
60326,4
60327,7
60328,9
60329,2
60330,9
60331,3
60332,3
60333,3
60334,2
60335,4
60336,0
60337,8
60338,7
60339,6
60340,4
60341,9
60342,9
60343,5
60344,9
60345,9
60346,1
60347,4
60348,1
60349,1
60350,6
60351,0
60352,4
60353,5
60354,0
60355,9
60356,2
60357,2
60358,2
60359,9
60360,9
60361,3
60362,6
60363,6
60364,3
60365,3
60366,9
60367,0
60368,1
60369,8
60370,8
60371,4
60372,0
60373,7
60374,8
60375,3
60376,3
60377,0
60378,8
60379,3
60380,9
60381,1
60382,9
60383,0
60384,2
60385,3
60386,5
60387,3
60388,0
60389,7
60390,4
60391,8
60392,7
60393,3
60394,1
60395,5
60396,7
60397,5
60398,4
60399,7
60400,1
60401,8
60402,4
60403,6
60404,4
60405,8
60406,1
60407,3
60408,8
60409,7
60410,8
60411,3
60412,7
60413,0
60414,7
60415,4
60416,2
60417,7
60418,1
60419,3
60420,0
60421,5
60422,4
60423,4
60424,5
60425,8
60426,9
60427,4
60428,9
60429,2
60430,5
60431,2
60432,4
60433,8
60434,2
60435,4
60436,8
60437,5
60438,9
60439,4
60440,2
60441,4
60442,8
60443,4
60444,3
60445,2
60446,3
60447,0
60448,3
60449,8
60450,4
60451,8
60452,2
60453,2
60454,0
60455,2
60456,1
60457,4
60458,3
60459,7
60460,4
60461,1
60462,1
60463,4
60464,4
60465,2
60466,5
60467,6
60468,4
60469,7
60470,5
60471,4
60472,4
60473,4
60474,2
60475,8
60476,0
60477,6
60478,3
60479,7
60480,8
60481,3
60482,7
60483,4
60484,1
60485,8
60486,5
60487,0
60488,6
60489,4
60490,2
60491,5
60492,4
60493,1
60494,0
60495,5
60496,3
60497,5
60498,2
60499,4
60500,2
60501,5
60502,2
60503,5
60504,1
60505,5
60506,3
60507,3
60508,8
60509,7
60510,0
60511,0
60512,7
60513,4
60514,7
60515,0
60516,9
60517,5
60518,3
60519,5
60520,5
60521,1
60522,8
60523,9
60524,1
60525,9
60526,2
60527,5
60528,0
60529,8
60530,0
60531,0
60532,5
60533,2
60534,3
60535,0
60536,3
60537,8
60538,2
60539,2
60540,6
60541,1
60542,0
60543,2
60544,1
60545,4
60546,1
60547,4
60548,4
60549,4
60550,0
60551,8
60552,6
60553,9
60554,8
60555,9
60556,2
60557,1
60558,9
60559,7
60560,9
60561,1
60562,5
60563,6
60564,1
60565,6
60566,1
60567,3
60568,0
60569,8
60570,8
60571,8
60572,3
60573,1
60574,3
60575,4
60576,3
60577,5
60578,1
60579,1
60580,2
60581,0
60582,6
60583,9
60584,8
60585,2
60586,2
60587,4
60588,5
60589,3
