Id,label
60001,9
60002,4
60003,1
60004,1
60005,9
60006,1
60007,1
60008,1
60009,1
60010,7
60011,1
60012,9
60013,6
60014,1
60015,9
60016,1
60017,1
60018,1
60019,7
60020,9
60021,1
60022,9
60023,4
60024,7
60025,7
60026,1
60027,9
60028,1
60029,1
60030,0
60031,4
60032,4
60033,9
60034,9
60035,9
60036,9
60037,1
60038,4
60039,4
60040,1
60041,1
60042,4
60043,1
60044,9
60045,9
60046,9
60047,8
60048,1
60049,9
60050,1
60051,9
60052,9
60053,7
60054,1
60055,1
60056,1
60057,7
60058,1
60059,9
60060,7
60061,9
60062,9
60063,7
60064,1
60065,1
60066,8
60067,9
60068,1
60069,1
60070,4
60071,1
60072,1
60073,9
60074,4
60075,9
60076,1
60077,4
60078,7
60079,1
60080,9
60081,1
60082,7
60083,1
60084,9
60085,1
60086,8
60087,1
60088,4
60089,8
60090,9
60091,1
60092,7
60093,1
60094,1
60095,1
60096,6
60097,1
60098,9
60099,1
60100,8
60101,2
60102,9
60103,1
60104,8
60105,9
60106,9
60107,9
60108,4
60109,1
60110,9
60111,9
60112,9
60113,1
60114,9
60115,1
60116,8
60117,1
60118,5
60119,1
60120,1
60121,1
60122,9
60123,1
60124,1
60125,9
60126,1
60127,5
60128,1
60129,1
60130,8
60131,9
60132,9
60133,1
60134,1
60135,1
60136,7
60137,8
60138,9
60139,8
60140,4
60141,7
60142,4
60143,1
60144,1
60145,7
60146,8
60147,7
60148,6
60149,1
60150,9
60151,9
60152,7
60153,1
60154,1
60155,9
60156,1
60157,9
60158,9
60159,1
60160,7
60161,1
60162,1
60163,9
60164,1
60165,7
60166,7
60167,9
60168,4
60169,7
60170,1
60171,1
60172,9
60173,1
60174,8
60175,9
60176,1
60177,1
60178,1
60179,7
60180,8
60181,1
60182,9
60183,1
60184,1
60185,8
60186,1
60187,8
60188,1
60189,1
60190,1
60191,9
60192,1
60193,1
60194,1
60195,1
60196,1
60197,9
60198,4
60199,9
60200,9
60201,1
60202,1
60203,1
60204,8
60205,1
60206,9
60207,1
60208,1
60209,1
60210,1
60211,9
60212,6
60213,7
60214,4
60215,4
60216,8
60217,1
60218,1
60219,9
60220,8
60221,4
60222,1
60223,9
60224,9
60225,4
60226,1
60227,1
60228,9
60229,1
60230,7
60231,1
60232,1
60233,7
60234,1
60235,9
60236,7
60237,1
60238,8
60239,7
60240,9
60241,1
60242,1
60243,8
60244,9
60245,1
60246,1
60247,9
60248,1
60249,7
60250,4
60251,0
60252,8
60253,0
60254,1
60255,8
60256,9
60257,9
60258,4
60259,7
60260,7
60261,9
60262,8
60263,1
60264,9
60265,1
60266,9
60267,9
60268,7
60269,7
60270,1
60271,1
60272,9
60273,1
60274,9
60275,1
60276,1
60277,4
60278,1
60279,9
60280,6
60281,8
60282,4
60283,9
60284,9
60285,8
60286,1
60287,1
60288,1
60289,4
60290,1
60291,1
60292,9
60293,4
60294,7
60295,9
60296,4
60297,1
60298,1
60299,1
60300,9
60301,8
60302,8
60303,1
60304,4
60305,7
60306,1
60307,1
60308,7
60309,0
60310,1
60311,1
60312,1
60313,4
60314,1
60315,1
60316,1
60317,0
60318,8
60319,1
60320,9
60321,1
60322,9
60323,1
60324,1
60325,9
60326,1
60327,7
60328,9
60329,1
60330,9
60331,1
60332,1
60333,1
60334,4
60335,1
60336,1
60337,7
60338,7
60339,7
60340,1
60341,9
60342,9
60343,9
60344,9
60345,9
60346,1
60347,1
60348,6
60349,1
60350,4
60351,1
60352,1
60353,5
60354,1
60355,9
60356,1
60357,4
60358,1
60359,5
60360,9
60361,1
60362,1
60363,4
60364,1
60365,6
60366,9
60367,1
60368,1
60369,4
60370,8
60371,1
60372,1
60373,9
60374,4
60375,4
60376,1
60377,1
60378,8
60379,1
60380,9
60381,1
60382,9
60383,1
60384,1
60385,1
60386,9
60387,4
60388,1
60389,9
60390,1
60391,7
60392,7
60393,4
60394,1
60395,8
60396,7
60397,9
60398,4
60399,7
60400,1
60401,8
60402,1
60403,1
60404,7
60405,4
60406,1
60407,1
60408,4
60409,7
60410,8
