Id,label
60001,1
60002,0
60003,7
60004,0
60005,5
60006,3
60007,4
60008,8
60009,6
60010,5
60011,9
60012,1
60013,5
60014,0
60015,0
60016,4
60017,1
60018,2
60019,5
60020,0
60021,9
60022,8
60023,0
60024,7
60025,4
60026,1
60027,1
60028,3
60029,3
60030,4
60031,9
60032,3
60033,5
60034,1
60035,4
60036,2
60037,3
60038,1
60039,6
60040,0
60041,3
60042,4
60043,5
60044,0
60045,9
60046,2
60047,4
60048,8
60049,9
60050,8
60051,7
60052,5
60053,9
60054,5
60055,1
60056,8
60057,8
60058,5
60059,8
60060,3
60061,2
60062,5
60063,5
60064,3
60065,1
60066,8
60067,5
60068,3
60069,1
60070,7
60071,1
60072,3
60073,8
60074,2
60075,4
60076,6
60077,9
60078,7
60079,9
60080,9
60081,1
60082,4
60083,8
60084,3
60085,3
60086,7
60087,8
60088,7
60089,0
60090,7
60091,0
60092,4
60093,3
60094,2
60095,6
60096,7
60097,2
60098,5
60099,6
60100,3
60101,3
60102,5
60103,4
60104,0
60105,6
60106,2
60107,6
60108,0
60109,9
60110,2
60111,9
60112,7
60113,9
60114,8
60115,6
60116,6
60117,7
60118,0
60119,4
60120,1
60121,4
60122,7
60123,4
60124,3
60125,8
60126,3
60127,4
60128,0
60129,2
60130,8
60131,0
60132,4
60133,6
60134,3
60135,1
60136,9
60137,2
60138,3
60139,9
60140,5
60141,3
60142,6
60143,0
60144,0
60145,8
60146,5
60147,6
60148,9
60149,1
60150,9
60151,8
60152,4
60153,4
60154,5
60155,5
60156,2
60157,4
60158,3
60159,0
60160,2
60161,4
60162,1
60163,3
60164,6
60165,5
60166,1
60167,4
60168,1
60169,0
60170,7
60171,7
60172,9
60173,5
60174,5
60175,9
60176,0
60177,3
60178,3
60179,5
60180,6
60181,6
60182,7
60183,1
60184,6
60185,0
60186,8
60187,5
60188,1
60189,1
60190,1
60191,1
60192,0
60193,9
60194,8
60195,0
60196,5
60197,9
60198,4
60199,4
60200,2
60201,2
60202,1
60203,8
60204,4
60205,8
60206,2
60207,3
60208,7
60209,0
60210,6
60211,2
60212,6
60213,2
60214,2
60215,5
60216,1
60217,1
60218,5
60219,8
60220,5
60221,0
60222,1
60223,4
60224,7
60225,5
60226,2
60227,8
60228,6
60229,5
60230,4
60231,2
60232,4
60233,1
60234,1
60235,2
60236,3
60237,9
60238,0
60239,7
60240,0
60241,4
60242,2
60243,2
60244,8
60245,5
60246,1
60247,9
60248,0
60249,3
60250,4
60251,4
60252,8
60253,0
60254,6
60255,9
60256,7
60257,2
60258,5
60259,5
60260,6
60261,3
60262,1
60263,8
60264,5
60265,2
60266,0
60267,6
60268,4
60269,9
60270,1
60271,9
60272,0
60273,2
60274,0
60275,5
60276,2
60277,4
60278,1
60279,4
60280,7
60281,9
60282,0
60283,5
60284,0
60285,1
60286,4
60287,0
60288,0
60289,8
60290,0
60291,8
60292,5
60293,3
60294,0
60295,7
60296,3
60297,8
60298,7
60299,5
60300,8
60301,4
60302,5
60303,5
60304,9
60305,0
60306,9
60307,9
60308,1
60309,0
60310,5
60311,7
60312,4
60313,1
60314,5
60315,8
60316,9
60317,2
60318,7
60319,1
60320,0
60321,1
60322,3
60323,8
60324,2
60325,3
60326,1
60327,8
60328,2
60329,5
60330,2
60331,9
60332,2
60333,5
60334,0
60335,4
60336,8
60337,1
60338,6
60339,2
60340,8
60341,9
60342,3
60343,7
60344,5
60345,7
60346,7
60347,4
60348,6
60349,4
60350,2
60351,7
60352,2
60353,4
60354,3
60355,4
60356,4
60357,1
60358,4
60359,6
60360,5
60361,5
60362,6
60363,4
60364,5
60365,4
60366,3
60367,2
60368,1
60369,4
60370,9
60371,9
60372,8
60373,7
60374,7
60375,6
60376,4
60377,1
60378,5
60379,1
60380,7
60381,1
60382,2
60383,6
60384,8
60385,6
60386,6
60387,3
